,global_cluster
Baryton,3
FN1453,5
FN2026_7,5
FN2076_5,5
JI0002,8
JI0006,3
JI0007,6
JI0012,3
JI0014,6
JI0015,5
JI0018,6
JI0019,3
JI0020,6
JI0021,6
JI0022,3
JI0024,4
JI0025,3
JI0026,3
JI0028,3
JI0033,1
JI0034,3
JI0035,1
JI0037,1
JI0039,10
JI0040,4
JI0043,3
JI0044,4
JI0046,5
JI0047,10
JI0048,5
JI0050,6
JI0055,4
JI0057,1
JI0058,5
JI0060,6
JI0061,1
JI0062,3
JI0064,8
JI0066,3
JI0067,3
JI0069,3
JI0071,4
JI0072,1
JI0073,5
JI0074,3
JI0077,3
JI0079,10
JI0080,10
JI0082,10
JI0083,5
JI0084,1
JI0085,9
JI0086,9
JI0087,9
JI0089,2
JI0090,3
JI0094,9
JI0098,9
JI0099,9
JI0102,9
JI0108,9
JI0109,9
JI0114,1
JI0116,4
JI0118,4
JI0120,3
JI0122,1
JI0123,4
JI0124,6
JI0125,4
JI0127,1
JI0128,5
JI0131,3
JI0132,3
JI0133,4
JI0134,3
JI0136,5
JI0138,4
JI0144,1
JI0145,1
JI0146,6
JI0147,10
JI0148,3
JI0149,6
JI0150,6
JI0151,3
JI0152,3
JI0154,6
JI0157,10
JI0162,2
JI0166,2
JI0167,2
JI0172,2
JI0174,2
JI0175,2
JI0176,2
JI0177,2
JI0180,2
JI0181,9
JI0184,10
JI0185,10
JI0188,2
JI0189,10
JI0190,10
JI0191,10
JI0198,10
JI0199,10
JI0200,4
JI0205,4
JI0208,4
JI0209,10
JI0210,1
JI0214,6
JI0216,3
JI0220,2
JI0221,2
JI0222,2
JI0223,2
JI0224,7
JI0228,3
JI0233,3
JI0237,2
JI0240,2
JI0241,9
JI0245,4
JI0246,4
JI0247,10
JI0249,8
JI0250,10
JI0251,9
JI0252,9
JI0255,8
JI0257,1
JI0261,8
JI0262,8
JI0267,4
JI0268,10
JI0270,4
JI0275,3
JI0276,10
JI0288,3
JI0295,4
JI0298,1
JI0301,1
JI0303,1
JI0304,1
JI0305,1
JI0314,1
JI0318,1
JI0319,1
JI0322,3
JI0323,3
JI0327,1
JI0328,10
JI0329,1
JI0330,1
JI0335,1
JI0339,3
JI0340,3
JI0341,1
JI0342,1
JI0344,3
JI0354,1
JI0356,1
JI0358,1
JI0361,1
JI0362,1
JI0364,3
JI0368,3
JI0369,3
JI0371,3
JI0378,4
JI0380,4
JI0383,1
JI0389,1
JI0391,4
JI0399,1
JI0400,1
JI0402,1
JI0406,1
JI0409,6
JI0411,3
JI0417,1
JI0420,1
JI0423,3
JI0424,3
JI0428,1
JI0430,1
JI0434,1
JI0441,1
JI0460,1
JI0466,3
JI0467,3
JI0474,1
JI0491,1
JI0496,1
JI0498,1
JI0504,1
JI0506,1
JI0516,6
JI0531,1
JI0536,1
JI0539,1
JI0546,1
JI0550,1
JI0554,1
JI0558,3
JI0560,3
JI0566,1
JI0568,1
JI0571,1
JI0573,1
JI0574,3
JI0582,1
JI0584,1
JI0607,1
JI0614,1
JI0616,3
JI0635,3
JI0651,1
JI0653,1
JI0657,6
JI0662,1
JI0665,1
JI0670,1
JI0681,1
JI0692,4
JI0693,3
JI0695,6
JI0699,4
JI0701,3
JI0703,4
JI0705,3
JI0711,4
JI0712,4
JI0714,10
JI0716,9
JI0717,6
JI0718,3
JI0720,1
JI0721,1
JI0727,1
JI0734,4
JI0735,4
JI0737,1
JI0738,1
JI0745,1
JI0746,1
JI0752,9
JI0754,10
JI0757,3
JI0774,1
JI0780,1
JI0781,1
JI0782,4
JI0787,4
JI0790,1
JI0794,4
JI0795,6
JI0799,1
JI0800,6
JI0804,10
JI0806,3
JI0807,4
JI0808,6
JI0813,6
JI0814,1
JI0815,3
JI0817,1
JI0819,3
JI0820,3
JI0825,4
JI0829,1
JI0832,1
JI0837,1
JI0841,1
JI0844,1
JI0846,4
JI0853,1
JI0854,1
JI0859,1
JI0863,3
JI0870,1
JI0874,1
JI0877,1
JI0884,1
JI0887,3
JI0892,3
JI0893,3
JI0907,10
JI0909,3
JI0930,1
JI0932,4
JI0935,1
JI0949,2
JI0950,3
JI0952,6
JI0955,3
JI0957,3
JI0958,4
JI0965,2
JI0968,2
JI0971,3
JI0974,6
JI0991,1
JI1002,4
JI1006,7
JI1010,7
JI1014,6
JI1017,1
JI1018,1
JI1035,10
JI1041,6
JI1043,4
JI1055,4
JI1058,3
JI1059,3
JI1071,3
JI1074,8
JI1075,10
JI1078,3
JI1082,3
JI1084,3
JI1085,3
JI1086,10
JI1087,10
JI1088,10
JI1089,10
JI1091,8
JI1092,8
JI1093,8
JI1094,8
JI1095,8
JI1096,8
JI1109,9
JI1117,9
JI1121,9
JI1125,2
JI1128,2
JI1129,3
JI1132,3
JI1147,1
JI1165,1
JI1173,3
JI1179,10
JI1187,3
JI1194,1
JI1200,1
JI1201,1
JI1205,1
JI1210,1
JI1212,1
JI1214,1
JI1217,3
JI1219,3
JI1222,3
JI1224,4
JI1227,3
JI1228,6
JI1229,1
JI1231,1
JI1237,1
JI1245,3
JI1246,1
JI1260,2
JI1261,9
JI1263,2
JI1265,2
JI1266,2
JI1268,9
JI1269,9
JI1270,9
JI1272,3
JI1277,1
JI1280,1
JI1282,1
JI1294,3
JI1303,1
JI1307,4
JI1313,1
JI1344,3
JI1345,4
JI1366,2
JI1386,6
JI1395,3
JI1398,10
JI1407,3
JI1423,1
JI1434,2
JI1444,10
JI1453,2
JI1462,3
JI1464,2
JI1469,2
JI1477,3
JI1482,3
JI1486,3
JI1491,10
JI1492,3
JI1503,10
JI1519,2
JI1523,2
JI1524,3
JI1528,3
JI1529,2
JI1535,10
JI1538,3
JI1539,9
JI1542,10
JI1543,9
JI1547,3
JI1548,3
JI1555,1
JI1562,1
JI1569,1
JI1573,3
JI1575,10
JI1577,1
JI1578,9
JI1581,2
JI1585,2
JI1587,2
JI1588,2
JI1590,2
JI1592,2
JI1607,2
JI1625,2
JI1626,2
JI1636,2
JI1639,2
JI1652,2
JI1663,2
JI1669,2
JI1679,2
JI1698,10
JI1699,4
JI1702,10
JI1703,6
JI1704,4
JI1705,4
JI1706,6
JI1707,6
JI1713,3
JI1714,6
JI1718,3
JI1720,1
JI1721,1
JI1722,6
JI1724,3
JI1732,1
JI1733,1
JI1735,3
JI1737,2
JI1747,1
JI1748,1
JI1762,1
JI1768,3
JI1772,1
JI1774,3
JI1775,1
JI1791,3
JI1792,3
JI1793,4
JI1794,10
JI1795,8
JI1796,7
JI1800,3
JI1804,3
JI1816,3
JI1817,3
JI1822,1
JI1825,3
JI1829,1
JI1834,3
JI1835,4
JI1837,4
JI1846,4
JI1848,3
JI1850,4
JI1851,4
JI1854,9
JI1863,3
JI1865,3
JI1870,4
JI1882,3
JI1885,2
JI1891,2
JI1894,2
JI1900,2
JI1910,2
JI1911,2
JI1915,3
JI1919,2
JI1920,2
JI1921,2
JI1922,10
JI1933,2
JI1946,2
JI1947,2
JI1948,2
JI1956,9
JI1962,2
JI1967,2
JI1968,2
JI1971,2
JI1980,10
JI1981,2
JI1985,3
JI1989,2
JI1991,2
JI1995,2
JI1996,2
JI2001,2
JI2007,3
JI2016,1
JI2017,1
JI2018,9
JI2036,3
JI2048,4
JI2055,8
JI2058,3
JI2061,4
JI2074,10
JI2081,2
JI2083,3
JI2084,10
JI2089,3
JI2100,3
JI2104,2
JI2105,10
JI2106,1
JI2108,1
JI2110,1
JI2114,1
JI2115,3
JI2129,3
JI2134,3
JI2150,3
JI2152,3
JI2153,3
JI2154,3
JI2157,3
JI2160,3
JI2174,1
JI2177,3
JI2182,1
JI2201,10
JI2202,8
JI2206,7
JI2219,1
JI2221,1
JI2223,3
JI2228,1
JI2236,2
JI2240,1
JI2243,3
JI2262,3
JI2273,3
JI2274,3
JI2277,4
JI2294,3
JI2296,3
JI2312,2
JI2314,3
JI2317,1
JI2324,3
JI2329,6
JI2332,4
JI2344,10
JI2348,10
JI2349,10
JI2350,10
JI2353,10
JI2355,2
JI2366,3
