sample,species
Baryton,Pisum sativum
FN1453,Pisum sativum
FN2026_7,Pisum sativum
FN2076_5,Pisum sativum
JI0002,Pisum abyssinicum
JI0006,Pisum sativum
JI0007,Pisum sativum
JI0012,Pisum sativum
JI0014,Pisum sativum
JI0015,Pisum sativum
JI0018,Pisum sativum
JI0019,Pisum sativum
JI0020,Pisum sativum
JI0021,Pisum sativum
JI0022,Pisum sativum
JI0024,Pisum sativum
JI0025,Pisum sativum
JI0026,Pisum sativum
JI0028,Pisum sativum
JI0033,Pisum sativum
JI0034,Pisum sativum
JI0035,Pisum sativum
JI0037,Pisum sativum
JI0039,Pisum sativum
JI0040,Pisum sativum
JI0043,Pisum sativum
JI0044,Pisum sativum
JI0046,Pisum sativum
JI0047,Pisum sativum
JI0048,Pisum sativum
JI0050,Pisum sativum
JI0055,Pisum sativum
JI0057,Pisum sativum
JI0058,Pisum sativum
JI0060,Pisum sativum
JI0061,Pisum sativum
JI0062,Pisum sativum
JI0064,Pisum sativum subsp. elatius
JI0066,Pisum sativum
JI0067,Pisum sativum
JI0069,Pisum sativum
JI0071,Pisum sativum
JI0072,Pisum sativum
JI0073,Pisum sativum
JI0074,Pisum sativum
JI0077,Pisum sativum
JI0079,Pisum sativum
JI0080,Pisum sativum
JI0082,Pisum sativum
JI0083,Pisum sativum
JI0084,Pisum sativum
JI0085,Pisum sativum
JI0086,Pisum sativum
JI0087,Pisum sativum
JI0089,Pisum sativum
JI0090,Pisum sativum
JI0094,Pisum sativum
JI0098,Pisum sativum
JI0099,Pisum sativum
JI0102,Pisum sativum
JI0108,Pisum sativum
JI0109,Pisum sativum
JI0114,Pisum sativum
JI0116,Pisum sativum
JI0118,Pisum sativum
JI0120,Pisum sativum
JI0122,Pisum sativum
JI0123,Pisum sativum
JI0124,Pisum sativum
JI0125,Pisum sativum
JI0127,Pisum sativum
JI0128,Pisum sativum
JI0131,Pisum sativum
JI0132,Pisum sativum
JI0133,Pisum sativum
JI0134,Pisum sativum
JI0136,Pisum sativum
JI0138,Pisum sativum
JI0144,Pisum sativum
JI0145,Pisum sativum
JI0146,Pisum sativum
JI0147,Pisum sativum
JI0148,Pisum sativum
JI0149,Pisum sativum
JI0150,Pisum sativum
JI0151,Pisum sativum
JI0152,Pisum sativum
JI0154,Pisum sativum
JI0157,Pisum sativum
JI0162,Pisum sativum
JI0166,Pisum sativum
JI0167,Pisum sativum
JI0172,Pisum sativum
JI0174,Pisum sativum
JI0175,Pisum sativum
JI0176,Pisum sativum
JI0177,Pisum sativum
JI0180,Pisum sativum
JI0181,Pisum sativum
JI0184,Pisum sativum
JI0185,Pisum sativum
JI0188,Pisum sativum
JI0189,Pisum sativum
JI0190,Pisum sativum
JI0191,Pisum sativum
JI0198,Pisum sativum subsp. elatius
JI0199,Pisum sativum subsp. elatius
JI0200,Pisum sativum
JI0205,Pisum sativum
JI0208,Pisum sativum
JI0209,Pisum sativum
JI0210,Pisum sativum
JI0214,Pisum sativum
JI0216,Pisum sativum
JI0220,Pisum sativum
JI0221,Pisum sativum
JI0222,Pisum sativum
JI0223,Pisum sativum
JI0224,Pisum fulvum
JI0228,Pisum sativum
JI0233,Pisum sativum
JI0237,Pisum sativum
JI0240,Pisum sativum
JI0241,Pisum sativum subsp. elatius
JI0245,Pisum sativum
JI0246,Pisum sativum
